paper_index,model,seed,best_epoch,best_val_mf1,acc,mprec,mrec,mf1,wf1,uar,head_path,confusion_counts_csv,confusion_row_norm_csv,confusion_png,confusion_pdf
1,ecapa-tdnn,42,8,0.7721312226844871,0.8069174540916384,0.7178429439556522,0.6773638316728776,0.6821669430180112,0.8095466691914459,0.6773638316728776,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/ecapa-tdnn_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/ecapa-tdnn_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/ecapa-tdnn_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_01_ecapa-tdnn.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_01_ecapa-tdnn.pdf
2,w2v2-en-b,43,36,0.5232935840998696,0.653592440720271,0.5377945732244952,0.5375854826699836,0.5090696209867851,0.653056817006292,0.5375854826699836,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/w2v2-en-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/w2v2-en-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/w2v2-en-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_02_w2v2-en-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_02_w2v2-en-b.pdf
3,w2v2-zh-b,43,56,0.5302814884172168,0.7120698876805135,0.6289627048067928,0.6386399789791416,0.6224887725066097,0.7105272155067748,0.6386399789791416,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/w2v2-zh-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/w2v2-zh-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/w2v2-zh-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_03_w2v2-zh-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_03_w2v2-zh-b.pdf
4,hubert-en-b,43,10,0.7785168095450941,0.843644143341059,0.7733512421506068,0.7552323743450496,0.7534928057993356,0.8453490982065603,0.7552323743450496,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/hubert-en-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/hubert-en-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/hubert-en-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_04_hubert-en-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_04_hubert-en-b.pdf
5,hubert-zh-b,42,25,0.8066760307783325,0.8981993225173828,0.850321399833803,0.8379918852025829,0.8408267456587709,0.8986599857025603,0.8379918852025829,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/hubert-zh-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/hubert-zh-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/hubert-zh-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_05_hubert-zh-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_05_hubert-zh-b.pdf
6,wavlm-b,44,11,0.7839407389229713,0.832055624888572,0.7671468056605553,0.7514550696849495,0.7510557985060666,0.8350113675422892,0.7514550696849495,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/wavlm-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/wavlm-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/wavlm-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_06_wavlm-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_06_wavlm-b.pdf
7,data2vec-audio-b,43,49,0.6114688139585193,0.732216081297914,0.6251205882516124,0.627836026211595,0.6022364354394513,0.7335730923040664,0.627836026211595,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/data2vec-audio-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/data2vec-audio-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/data2vec-audio-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_07_data2vec-audio-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_07_data2vec-audio-b.pdf
8,unispeech-sat-b,44,18,0.7768503914023156,0.8227848101265823,0.7662861507864537,0.7232339467251437,0.7209435241877022,0.8267215366872852,0.7232339467251437,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/unispeech-sat-b_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/unispeech-sat-b_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/unispeech-sat-b_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_08_unispeech-sat-b.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_08_unispeech-sat-b.pdf
9,whisper-base,44,32,0.7576575308878475,0.8566589409876983,0.7852242391174217,0.7795079576151007,0.7713020976739918,0.8560137111858358,0.7795079576151007,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/whisper-base_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/whisper-base_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/whisper-base_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_09_whisper-base.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_09_whisper-base.pdf
10,resnet-voxceleb,44,6,0.7533139666541154,0.8536280977001248,0.8169558789355184,0.7063938129221965,0.7167016570529864,0.8484248135646029,0.7063938129221965,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/resnet-voxceleb_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/resnet-voxceleb_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/resnet-voxceleb_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_10_resnet-voxceleb.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_10_resnet-voxceleb.pdf
11,rawnet3,43,7,0.8038252654520296,0.8664646104474951,0.8145776104473332,0.7835166076295703,0.7830615281188834,0.8687484391311264,0.7835166076295703,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/rawnet3_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/rawnet3_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/rawnet3_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_11_rawnet3.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_11_rawnet3.pdf
12,xvect-voxceleb,43,10,0.8412872699510093,0.8399001604564094,0.8003769180471846,0.7714102351156964,0.7667615277431324,0.8463166516547448,0.7714102351156964,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/heads/xvect-voxceleb_best.pt,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/xvect-voxceleb_confusion_counts.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/xvect-voxceleb_confusion_row_norm.csv,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_12_xvect-voxceleb.png,/Users/haobowang/Downloads/Bilibili_Audio/experiment3_results/confusions/exp3_cm_12_xvect-voxceleb.pdf
