model,loss,seed,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,class_weighted,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
data2vec-audio-b,class_weighted,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999981614103943,0.9999984699279325,0.0006064281382656155
data2vec-audio-b,class_weighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
data2vec-audio-b,unweighted,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999972421155915,0.9999977040550464,0.001212856276531231
data2vec-audio-b,unweighted,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999969356839906,0.9999974487213166,0.001212856276531231
data2vec-audio-b,unweighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999987742735963,0.9999989798239952,0.0006064281382656155
data2vec-audio-b,balanced_sampler,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999957099575868,0.9999964294398234,0.001212856276531231
data2vec-audio-b,balanced_sampler,43,0.9983461962513782,0.9983322300676669,0.9982818380135143,0.9999905006203708,0.999992098215988,0.001212856276531231
data2vec-audio-b,balanced_sampler,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
ecapa-tdnn,class_weighted,42,0.9977949283351709,0.9977769791732727,0.9978776547318708,0.9999898877571689,0.999991599762593,0.0018192844147968466
ecapa-tdnn,class_weighted,43,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999963228207887,0.9999969341809678,0.001212856276531231
ecapa-tdnn,class_weighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999984678419953,0.99999872654811,0.0005053057099545225
ecapa-tdnn,unweighted,42,0.9958654906284454,0.9958282019527418,0.9955023501771634,0.9999606235392788,0.999966808195946,0.0025265285497726125
ecapa-tdnn,unweighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.999999693568399,0.999999744795096,0.0005053057099545225
ecapa-tdnn,unweighted,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,0.9999981614103943,0.9999984703149324,0.001010611419909045
ecapa-tdnn,balanced_sampler,42,0.9991730981256891,0.999166241705794,0.9991914802209128,0.999984678419953,0.999987297251249,0.001010611419909045
ecapa-tdnn,balanced_sampler,43,0.9986218302094818,0.9986102623164352,0.9985850520826471,0.9999957099575868,0.9999964397091674,0.001010611419909045
ecapa-tdnn,balanced_sampler,44,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999987742735962,0.9999989784061232,0.0006064281382656155
hubert-en-b,class_weighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0
hubert-en-b,class_weighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,class_weighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,unweighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0
hubert-en-b,unweighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,unweighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,balanced_sampler,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-zh-b,class_weighted,42,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
hubert-zh-b,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,class_weighted,44,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,42,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,balanced_sampler,44,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
rawnet3,class_weighted,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231
rawnet3,class_weighted,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510366,0.0006064281382656155
rawnet3,class_weighted,44,0.9986218302094818,0.9986104028429902,0.9986356132968026,0.9999972421155915,0.9999977040550465,0.001212856276531231
rawnet3,unweighted,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999966292523896,0.9999971941569029,0.001212856276531231
rawnet3,unweighted,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510367,0.0006064281382656155
rawnet3,unweighted,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999972421155915,0.9999977040550465,0.001212856276531231
rawnet3,balanced_sampler,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231
rawnet3,balanced_sampler,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999984678419953,0.9999987243610479,0.0006064281382656155
rawnet3,balanced_sampler,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0
resnet-voxceleb,class_weighted,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,class_weighted,44,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,balanced_sampler,44,1.0,1.0,1.0,1.0,1.0,0.0
unispeech-sat-b,class_weighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225
unispeech-sat-b,class_weighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998538321263503,0.999901860413824,0.0005053057099545225
unispeech-sat-b,class_weighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225
unispeech-sat-b,unweighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998575093055616,0.9999038595928278,0.0005053057099545225
unispeech-sat-b,unweighted,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998538321263503,0.9999018604138239,0.0005053057099545225
unispeech-sat-b,unweighted,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998544449895522,0.9999021922525556,0.0005053057099545225
unispeech-sat-b,balanced_sampler,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998605736215711,0.999905540633513,0.0005053057099545225
unispeech-sat-b,balanced_sampler,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998568964423598,0.9999035250341173,0.0005053057099545225
unispeech-sat-b,balanced_sampler,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998477034943314,0.9998985715113703,0.0005053057099545225
w2v2-en-b,class_weighted,42,0.9746416758544653,0.9744249177140332,0.9743289990626257,0.9976760227384506,0.9980776098383796,0.025469981807155852
w2v2-en-b,class_weighted,43,0.9773980154355016,0.9771832299470491,0.9766532827557761,0.9979659070329423,0.998315651756729,0.024863553668890235
w2v2-en-b,class_weighted,44,0.976295479603087,0.9760804314734199,0.9757437937641782,0.997935570304449,0.9982917416511126,0.025265285497726123
w2v2-en-b,unweighted,42,0.9751929437706726,0.974973142806687,0.9747331823442691,0.9976793934860608,0.9980804873641075,0.025469981807155852
w2v2-en-b,unweighted,43,0.9760198456449835,0.9757853798273639,0.9751372124101121,0.9979401667784632,0.9982952313322453,0.025265285497726123
w2v2-en-b,unweighted,44,0.977122381477398,0.9769062218085289,0.9764006299007989,0.9979413925048669,0.9982962322009074,0.025265285497726123
w2v2-en-b,balanced_sampler,42,0.976295479603087,0.9760702167737343,0.9755415489075561,0.997897879217533,0.9982616487612735,0.024863553668890235
w2v2-en-b,balanced_sampler,43,0.9760198456449835,0.9758086303827802,0.975592263337512,0.997951504747698,0.9983059088572782,0.024863553668890235
w2v2-en-b,balanced_sampler,44,0.9760198456449835,0.9758035713259028,0.975491140909201,0.9979153458187868,0.9982736243676114,0.025469981807155852
w2v2-zh-b,class_weighted,42,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999954035259859,0.9999961730710447,0.001212856276531231
w2v2-zh-b,class_weighted,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999944842311831,0.999995405902057,0.001212856276531231
w2v2-zh-b,class_weighted,44,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999935649363803,0.9999946308454097,0.001212856276531231
w2v2-zh-b,unweighted,42,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999954035259859,0.9999961730710447,0.001212856276531231
w2v2-zh-b,unweighted,43,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999950970943849,0.9999959169607001,0.001212856276531231
w2v2-zh-b,unweighted,44,0.9986218302094818,0.9986102623164352,0.9985850520826471,0.9999935649363803,0.9999946308454097,0.001212856276531231
w2v2-zh-b,balanced_sampler,42,0.9983461962513782,0.9983322300676669,0.9982818380135143,0.9999886620307651,0.9999905362989711,0.0018192844147968466
w2v2-zh-b,balanced_sampler,43,0.9983461962513782,0.9983322300676669,0.9982818380135143,0.9999898877571689,0.9999915492403809,0.0015159171298635675
w2v2-zh-b,balanced_sampler,44,0.9986218302094818,0.9986102623164352,0.9985850520826471,0.9999865170095585,0.9999887229632513,0.0018192844147968466
wavlm-b,class_weighted,42,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.999999693568399,0.999999744795096,0.0005053057099545225
wavlm-b,class_weighted,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,class_weighted,44,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,unweighted,42,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.999999693568399,0.9999997447950959,0.0005053057099545225
wavlm-b,unweighted,43,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,unweighted,44,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,balanced_sampler,42,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,balanced_sampler,43,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999993871367981,0.9999994898478446,0.0005053057099545225
wavlm-b,balanced_sampler,44,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.999999693568399,0.9999997447950959,0.0005053057099545225
whisper-base,class_weighted,42,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,class_weighted,44,0.9997243660418964,0.999722052463287,0.9996967859308672,1.0,1.0,0.0
whisper-base,unweighted,42,0.9997243660418964,0.999722052463287,0.9996967859308672,1.0,1.0,0.0
whisper-base,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,balanced_sampler,44,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,class_weighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
xvect-voxceleb,class_weighted,43,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,class_weighted,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0
xvect-voxceleb,unweighted,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
xvect-voxceleb,unweighted,43,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,unweighted,44,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,balanced_sampler,42,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,balanced_sampler,43,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,balanced_sampler,44,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
